time,height,n_tx,anomaly_score,is_anomaly
2026-02-22,937822,4009,0.144191096009387,False
2026-02-22,937850,3961,0.14456346995006158,False
2026-02-23,937956,3954,0.14566725921037582,False
2026-02-22,937874,3494,0.14592283901618874,False
2026-02-22,937867,3502,0.14683211948633185,False
2026-02-22,937848,3464,0.14707889860872436,False
2026-02-22,937775,3452,0.14716432158208348,False
2026-02-22,937795,3461,0.14771512251388141,False
2026-02-23,937934,3499,0.1481453796316033,False
2026-02-23,937924,3368,0.1493699013843855,False
2026-02-22,937796,3359,0.14959848332084869,False
2026-02-23,937923,3362,0.1502868274459268,False
2026-02-22,937838,4031,0.1509825579529404,False
2026-02-23,937899,4027,0.1517828751583783,False
2026-02-22,937819,4022,0.15248657159612167,False
2026-02-22,937870,3399,0.1529408974510411,False
2026-02-22,937839,4023,0.1532952727967291,False
2026-02-23,937888,3421,0.15350043992266632,False
2026-02-23,937906,3400,0.15376420168437643,False
2026-02-22,937821,3407,0.15380426607684328,False
2026-02-23,937893,3417,0.15611332689250268,False
2026-02-22,937779,3416,0.15657030144721695,False
